# Parameterkombination: {'M1_H': 8.5, 'M1_W': 4.3, 'M2_H': 6.9, 'M2_W': 6.3, 'offset': -2.8}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:19:00.071293
#         Zeit [s]            Fx [N]
    0.000000e+00     7.063898e-17
    1.000000e-01     9.050030e-17
    2.000000e-01     7.488728e-17
    3.000000e-01     4.638419e-17
    4.000000e-01     8.170753e-17
    5.000000e-01     6.227132e-17
    6.000000e-01     7.050884e-17
    7.000000e-01     7.443290e-17
    8.000000e-01     7.564441e-17
    9.000000e-01     8.584041e-17
    1.000000e+00     8.942250e-17
    1.010000e+00     5.318992e-03
    1.100000e+00     5.340930e-02
