# Parameterkombination: {'M1_H': 7.0, 'M1_W': 7.2, 'M2_H': 11.0, 'M2_W': 4.6, 'offset': 1.7}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:46:25.476415
#         Zeit [s]            Fx [N]
    0.000000e+00     1.716845e-17
    1.000000e-01     1.022425e-17
    2.000000e-01    -3.492509e-17
    3.000000e-01     1.118928e-17
    4.000000e-01     1.107259e-17
    5.000000e-01     6.978614e-17
    6.000000e-01     4.891137e-17
    7.000000e-01    -1.741854e-17
    8.000000e-01     2.024639e-17
    9.000000e-01    -4.839688e-18
    1.000000e+00     1.570506e-17
    1.010000e+00     6.946379e-03
    1.100000e+00     6.928844e-02
