# Parameterkombination: {'M1_H': 4.9, 'M1_W': 9.1, 'M2_H': 8.9, 'M2_W': 4.6, 'offset': 1.7}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:44:18.511811
#         Zeit [s]            Fx [N]
    0.000000e+00     1.578100e-17
    1.000000e-01     2.722749e-17
    2.000000e-01     7.153594e-17
    3.000000e-01     3.228348e-17
    4.000000e-01     6.524963e-17
    5.000000e-01     1.283873e-17
    6.000000e-01     1.227916e-17
    7.000000e-01     2.783134e-17
    8.000000e-01    -4.660215e-17
    9.000000e-01    -1.221613e-17
    1.000000e+00     1.294025e-17
    1.010000e+00     7.003664e-03
    1.100000e+00     6.995285e-02
