# Parameterkombination: {'M1_H': 10.6, 'M1_W': 6.2, 'M2_H': 9.0, 'M2_W': 5.0, 'offset': -0.3}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:33:42.317118
#         Zeit [s]            Fx [N]
    0.000000e+00    -1.804371e-17
    1.000000e-01     5.340955e-18
    2.000000e-01     7.439487e-18
    3.000000e-01     1.425897e-17
    4.000000e-01     8.990459e-17
    5.000000e-01     5.223568e-17
    6.000000e-01     2.366043e-17
    7.000000e-01     5.128718e-17
    8.000000e-01     5.748692e-17
    9.000000e-01    -3.503630e-17
    1.000000e+00    -2.443290e-17
    1.010000e+00     6.963594e-03
    1.100000e+00     6.966002e-02
