# Parameterkombination: {'M1_H': 4.4, 'M1_W': 8.0, 'M2_H': 7.2, 'M2_W': 4.4, 'offset': 0.5}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:41:16.083685
#         Zeit [s]            Fx [N]
    0.000000e+00     5.367976e-17
    1.000000e-01     1.724743e-17
    2.000000e-01     1.296378e-17
    3.000000e-01     1.657669e-17
    4.000000e-01     3.901846e-17
    5.000000e-01    -1.492667e-18
    6.000000e-01     1.830716e-17
    7.000000e-01     3.132206e-17
    8.000000e-01     2.060349e-17
    9.000000e-01     1.063932e-17
    1.000000e+00     1.361180e-17
    1.010000e+00     5.586681e-03
    1.100000e+00     5.588346e-02
