# Parameterkombination: {'M1_H': 8.9, 'M1_W': 3.6, 'M2_H': 9.9, 'M2_W': 6.8, 'offset': -0.8}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:26:29.058746
#         Zeit [s]            Fx [N]
    0.000000e+00     1.626339e-16
    1.000000e-01     2.483584e-16
    2.000000e-01     2.062618e-16
    3.000000e-01     1.054614e-16
    4.000000e-01     1.984187e-16
    5.000000e-01     2.160436e-16
    6.000000e-01     1.137149e-16
    7.000000e-01     1.796618e-16
    8.000000e-01     1.370724e-16
    9.000000e-01     1.753049e-16
    1.000000e+00     5.746646e-17
    1.010000e+00     5.640370e-03
    1.100000e+00     5.626370e-02
