# Parameterkombination: {'M1_H': 10.2, 'M1_W': 4.4, 'M2_H': 11.5, 'M2_W': 3.5, 'offset': 3.3}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:06:02.220382
#         Zeit [s]            Fx [N]
    0.000000e+00    -4.326345e-17
    1.000000e-01    -3.796265e-17
    2.000000e-01    -3.728394e-17
    3.000000e-01    -3.039256e-17
    4.000000e-01    -2.673550e-17
    5.000000e-01    -3.109947e-17
    6.000000e-01    -1.319532e-17
    7.000000e-01    -2.458441e-17
    8.000000e-01    -3.796055e-17
    9.000000e-01    -3.615203e-17
    1.000000e+00    -4.572287e-17
    1.010000e+00     2.827538e-03
    1.100000e+00     2.803526e-02
