# Parameterkombination: {'M1_H': 4.9, 'M1_W': 7.1, 'M2_H': 11.6, 'M2_W': 4.4, 'offset': 1.6}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:48:47.899167
#         Zeit [s]            Fx [N]
    0.000000e+00     2.335188e-17
    1.000000e-01     3.704875e-17
    2.000000e-01     5.391626e-17
    3.000000e-01     3.736719e-17
    4.000000e-01     3.038202e-17
    5.000000e-01     3.530591e-17
    6.000000e-01     2.256629e-17
    7.000000e-01    -6.395490e-18
    8.000000e-01     2.164613e-17
    9.000000e-01     6.679304e-18
    1.000000e+00    -1.493667e-17
    1.010000e+00     5.750648e-03
    1.100000e+00     5.743223e-02
