# Parameterkombination: {'M1_H': 11.8, 'M1_W': 5.5, 'M2_H': 11.3, 'M2_W': 3.0, 'offset': 1.9}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:13:25.244170
#         Zeit [s]            Fx [N]
    0.000000e+00    -1.619026e-17
    1.000000e-01    -1.105222e-16
    2.000000e-01    -1.150523e-16
    3.000000e-01    -7.667558e-17
    4.000000e-01    -6.387443e-17
    5.000000e-01    -8.228761e-17
    6.000000e-01    -3.880690e-17
    7.000000e-01    -9.572996e-18
    8.000000e-01    -5.684691e-18
    9.000000e-01    -1.060268e-16
    1.000000e+00    -7.816194e-17
    1.010000e+00     3.799872e-03
    1.100000e+00     3.800149e-02
