# Parameterkombination: {'M1_H': 5.4, 'M1_W': 3.8, 'M2_H': 3.0, 'M2_W': 9.9, 'offset': -2.6}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:21:39.005384
#         Zeit [s]            Fx [N]
    0.000000e+00     8.663319e-17
    1.000000e-01     9.416196e-17
    2.000000e-01     8.571465e-17
    3.000000e-01     6.672760e-17
    4.000000e-01     9.026796e-17
    5.000000e-01     9.666561e-17
    6.000000e-01     1.106758e-16
    7.000000e-01     1.014501e-16
    8.000000e-01     9.227844e-17
    9.000000e-01     6.762424e-17
    1.000000e+00     4.930515e-17
    1.010000e+00     3.989303e-03
    1.100000e+00     3.998269e-02
