# Parameterkombination: {'M1_H': 10.7, 'M1_W': 6.3, 'M2_H': 5.8, 'M2_W': 4.1, 'offset': -0.1}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:36:02.155113
#         Zeit [s]            Fx [N]
    0.000000e+00    -6.018017e-17
    1.000000e-01    -5.638448e-17
    2.000000e-01    -5.451339e-17
    3.000000e-01    -5.806164e-17
    4.000000e-01     9.953459e-18
    5.000000e-01    -6.941020e-17
    6.000000e-01    -8.526895e-17
    7.000000e-01    -6.330246e-18
    8.000000e-01     3.557980e-17
    9.000000e-01    -4.809338e-17
    1.000000e+00    -1.276908e-16
    1.010000e+00     5.448013e-03
    1.100000e+00     5.452448e-02
