# Parameterkombination: {'M1_H': 7.0, 'M1_W': 5.0, 'M2_H': 11.6, 'M2_W': 3.0, 'offset': 4.3}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:10:33.558728
#         Zeit [s]            Fx [N]
    0.000000e+00    -1.323149e-17
    1.000000e-01    -5.383945e-18
    2.000000e-01    -7.301725e-18
    3.000000e-01    -1.810296e-17
    4.000000e-01     8.712627e-19
    5.000000e-01    -1.490054e-17
    6.000000e-01     6.036456e-18
    7.000000e-01    -1.343059e-17
    8.000000e-01    -1.127381e-17
    9.000000e-01    -1.818202e-17
    1.000000e+00    -2.887815e-17
    1.010000e+00     2.437439e-03
    1.100000e+00     2.404766e-02
