# Parameterkombination: {'M1_H': 8.7, 'M1_W': 4.6, 'M2_H': 10.5, 'M2_W': 3.9, 'offset': 1.3}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:30:56.139763
#         Zeit [s]            Fx [N]
    0.000000e+00     2.868549e-17
    1.000000e-01     1.730715e-17
    2.000000e-01     3.476990e-17
    3.000000e-01     3.882515e-17
    4.000000e-01     3.885388e-17
    5.000000e-01     4.008511e-17
    6.000000e-01     3.344741e-17
    7.000000e-01     3.098273e-17
    8.000000e-01     2.930545e-17
    9.000000e-01     3.441041e-17
    1.000000e+00     4.126599e-17
    1.010000e+00     3.518580e-03
    1.100000e+00     3.516366e-02
