# Parameterkombination: {'M1_H': 8.5, 'M1_W': 5.3, 'M2_H': 10.1, 'M2_W': 6.4, 'offset': 0.9}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:15:58.046961
#         Zeit [s]            Fx [N]
    0.000000e+00     1.469930e-16
    1.000000e-01     1.203056e-16
    2.000000e-01     1.371546e-16
    3.000000e-01     1.950363e-16
    4.000000e-01     1.584750e-16
    5.000000e-01     1.369982e-16
    6.000000e-01     1.494735e-16
    7.000000e-01     1.447544e-16
    8.000000e-01     1.500560e-16
    9.000000e-01     9.421622e-17
    1.000000e+00     1.300583e-16
    1.010000e+00     7.440220e-03
    1.100000e+00     7.421294e-02
