# Parameterkombination: {'M1_H': 8.2, 'M1_W': 4.6, 'M2_H': 6.5, 'M2_W': 5.7, 'offset': 0.2}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:08:17.547565
#         Zeit [s]            Fx [N]
    0.000000e+00     4.498760e-17
    1.000000e-01     5.107456e-17
    2.000000e-01     4.702087e-17
    3.000000e-01     4.666720e-17
    4.000000e-01     5.064843e-17
    5.000000e-01     5.837858e-17
    6.000000e-01     5.292605e-17
    7.000000e-01     4.579690e-17
    8.000000e-01     4.965052e-17
    9.000000e-01     6.471968e-17
    1.000000e+00     9.024655e-17
    1.010000e+00     5.065411e-03
    1.100000e+00     5.063197e-02
