# Parameterkombination: {'M1_H': 8.2, 'M1_W': 5.9, 'M2_H': 10.4, 'M2_W': 5.2, 'offset': 2.1}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:28:29.855982
#         Zeit [s]            Fx [N]
    0.000000e+00     2.642501e-17
    1.000000e-01    -1.174096e-18
    2.000000e-01     4.303655e-17
    3.000000e-01     3.324294e-17
    4.000000e-01    -3.418560e-17
    5.000000e-01     4.341263e-18
    6.000000e-01     2.255015e-17
    7.000000e-01     3.267229e-18
    8.000000e-01    -2.760369e-17
    9.000000e-01     5.507478e-18
    1.000000e+00     5.099613e-18
    1.010000e+00     6.512970e-03
    1.100000e+00     6.488177e-02
